year,major,age,gender,height,weight,ice_cream,color
2,math-cs,19,m,69,150,coffee,navy_blue
2,cbn,28,m,70,175,cookie_butter,orange
2,cs,19,m,71,175,cookie_dough,blue
2,cogs-ml,19,m,69,165,cookies_cream,blue
2,math,19,f,62,,cookies_cream,blue
2,cogs,20,f,60,130,cookies_cream,blue
2,cs,19,m,71,168,cookies_cream,evergreen
2,cs,20,m,70,145,cookies_cream,grey
2,math-cs,20,m,70,110,cookies_cream,green
2,cs,19,m,72,163,cookies_cream,green
2,bioinform,20,m,68,146,cookies_cream,green
2,cogs-dsgn,20,m,66,125,cookies_cream,none
2,cs,19,f,63,106,cookies_cream,purple
2,cogs-dsgn,19,f,65,160,cookies_cream,teal
2,cs,20,m,69,133,earlgrey,blue
2,math-cs,19,f,66,125,earlgrey,red
2,cogs-dsgn,19,m,66,120,espresso,black
2,cs,19,m,69,130,green_tea,grey
2,math-cs,20,m,67,153,green_tea,grey
2,math-cs,19,f,64,145,green_tea,monty_python
2,cs,20,m,66,122,green_tea,orange
2,cogs-dsgn,19,m,68,160,green_tea,sunset_orange
2,math-cs,20,f,67,119,green_tea,yellow
2,cs,19,m,72,170,healthy,blue
2,math-cs,19,f,65,115,lucky_charms,pink
2,cogs-dsgn,19,f,64,144,lychee,pink
2,cs,19,m,69,160,mint,red
2,meche,20,m,72,220,mint,black
2,cogs-clin,19,f,65,155,mint ,blue
2,cs,19,m,70,180,mocha_almond_fudge,maroon
2,ece,19,f,62,120,moose_tracks,navy_blue
2,cogs-dsgn,23,m,69,160,none,none
2,cs,19,m,67,149,none,pink
2,cogs,20,m,72,170,peanut_butter,blue
2,math-cs,19,f,69,125,pistachio,burgandy
2,cs,19,m,72,150,pistachio,purple
2,cs,,m,71,172,raisin_rum,all
2,cs,19,m,67,114,raspberry,green
2,cogs,19,f,64,125,rocky_road,yellow
2,cse,19,m,72,150,sherbet,storm_grey
2,cogs-ml,19,m,73,192,strawberry,black
2,cogs,19,m,68,133,strawberry,blue
2,cs,19,m,70,142,strawberry,white
2,cogs,20,f,68,110,strawberry,yellow
2,cogs,20,f,69,210,strawberry_cheesecake,blue
2,cse,20,m,72,150,tiramisu,blue
2,cogs-dsgn,19,f,63,105,vanilla,blue
2,cs,19,m,70,152,vanilla,blue
2,cs,19,m,72,170,vanilla,blue
2,cs,20,m,73,170,vanilla,blue
2,cogs,20,m,69,190,vanilla,blue
2,cogs,19,m,72,180,vanilla,dark_yellow
2,cs,19,m,69,155,vanilla,green
2,cs,20,m,70,145,vanilla,green
2,math,19,m,72,215,vanilla,light_blue
2,matsci,25,m,80,128,vanilla,red
2,cogs-dsgn,19,m,69,140,vanilla,red
2,cogs,19,m,67,165,vanilla,red
2,math-cs,19,m,70,150,vanilla,white
2,cogs,20,m,67,139,white,light_blue
2,cogs,19,m,70,140,,
2,cogs,19,f,,,,
2,cs,18,m,,,,
3,cogs,21,f,60,107,all,pastels
3,cogs,20,f,64,125,all-nochoc,midnight_blue
3,math-cs,21,m,67,135,black_cherry,grey
3,cogs-dsgn,20,f,64,100,black_sesame,none
3,cogs-dsgn,21,m,67,160,butter_pecan,blue
3,cogs,,m,67,150,butter_pecan,orange
3,cogs-dsgn,20,f,68,140,cake_batter,blue
3,cogs-dsgn,20,f,65,145,cake_batter,purple
3,cogs,20,f,60,,caramel,blue
3,cogs,21,m,69,150,cherry,white
3,cs,21,m,65,163,choc_chip,blue
3,cs,20,f,70,135,choc_chip,grey
3,cogs-dsgn,22,f,62,105,choc_chip,green
3,math-cs,20,m,67,155,choc_mint,blue
3,cogs,21,m,66,170,choc_mint,blue
3,cogs-dsgn,21,m,73,140,choc_mint,cyan
3,cs,23,m,68,145,choc_mint,green
3,cs,20,m,68,155,choc_mint,green
3,cogs,20,f,,,choc_mint,light_pink 
3,cogs-dsgn,22,f,64,,choc_mint,light_purple
3,cogs,20,m,72,155,choc_mint,maroon
3,cs,21,m,70,150,choc_mint,purple
3,cogs,21,f,65,109,choc_mint,purple
3,cogs,20,f,68,,choc_mint,purple
3,cogs,20,m,71,165,choc_mint,red
3,cogs-dsgn,20,m,70,135,choc_mint,red
3,cse,20,m,64,122,choc_mint,red
3,cogs-dsgn,20,f,63,140,choc_mint,turquoise
3,math-cs,21,f,67,125,choc_mint,white
3,cbn,26,m,70,165,choc_vanilla,blue
3,cogs-neuro,21,m,67,186,choc_vanilla,red
3,cs,20,m,64,155,chocchip_cookiedough,grey
3,cogs,24,m,68,150,chocolate,black
3,cogs-dsgn,21,f,64,130,chocolate,blue
3,cogs-dsgn,20,f,64,140,chocolate,blue
3,cs,21,m,70,143,chocolate,blue
3,cogs,,m,67,150,chocolate,blue
3,cogs,21,m,68,175,chocolate,blue
3,cogs-dsgn,20,f,61,,chocolate,blue
3,cogs,21,m,72,150,chocolate,green
3,cogs-dsgn,21,f,66,113,chocolate,green
3,cs,20,m,69,155,chocolate,green
3,cogs-dsgn,23,m,71,163,chocolate,green
3,cogs,21,f,63,130,chocolate,pink
3,cs,23,m,70,114,chocolate,white
3,cs,20,f,68,145,coconut,blue
3,cs,20,m,69,160,coffee,blue
3,cogs-dsgn,20,m,64,110,coffee,blue
3,cogs-dsgn,21,f,63,127,coffee,blue
3,cogs,20,f,63,120,coffee,blue
3,cogs,20,m,68,142,coffee,darkness
3,cogs,20,f,70,130,coffee,green
3,math-cs,21,f,64,125,coffee,red
3,cogs,23,m,66,140,coffee,yellow
3,math-cs,20,m,70,230,coffee,yellow
3,probstat,20,m,71,145,cookie_dough,blue
3,cogs,19,m,69,,cookie_dough,blue
3,cogs,19,m,69,,cookie_dough,blue
3,cogs-dsgn,21,m,77,200,cookie_dough,blue
3,cogs,20,m,70,140,cookie_dough,green
3,cse,20,m,67,122,cookies_cream,black
3,cogs-dsgn,20,m,66,138,cookies_cream,black
3,cogs,,f,64,120,cookies_cream,blue
3,cs,20,m,71,145,cookies_cream,blue
3,cs,20,m,71,145,cookies_cream,blue
3,cs,21,m,68,160,cookies_cream,blue
3,ece,21,m,68,165,cookies_cream,blue
3,cs,21,m,68,175,cookies_cream,blue
3,cogs,22,m,65,180,cookies_cream,blue
3,math-cs,20,m,71,180,cookies_cream,blue
3,cogs,21,m,64,165,cookies_cream,blue
3,cogs,23,m,67,165,cookies_cream,blue
3,cogs-dsgn,21,m,67,145,cookies_cream,blue
3,math-cs,20,m,69,145,cookies_cream,blue
3,cogs,21,m,73,184,cookies_cream,grey
3,cogs-dsgn,20,m,68,150,cookies_cream,maroon
3,cs,20,f,69,135,cookies_cream,none
3,cogs-dsgn,21,f,61,120,cookies_cream,pink
3,cs,20,m,67,130,cookies_cream,purple
3,cs,20,m,69,170,cookies_cream,yellow
3,cs,21,f,61,99,cotton_candy,red
3,cogs,20,m,65,125,cotton_candy,sea_green
3,cogs,22,f,64,130,cucumber,green
3,math-cs,24,f,69,140,espresso,green
3,cogs,20,f,65,110,flower_tea,green
3,cogs,32,m,69,164,free,blue
3,bioinform,20,m,68,150,gold_medal_ribbon,dark_red
3,cogs,20,f,65,128,green_tea,blue
3,cogs,20,m,70,165,green_tea,blue
3,math,21,f,66,128,green_tea,blue
3,cogs-dsgn,21,f,68,130,green_tea,blue
3,cogs,20,f,64,138,green_tea,green
3,cogs,20,m,71,190,green_tea,navy_blue
3,cogs-dsgn,20,f,66,115,green_tea,navy_blue
3,cogs,21,m,72,143,green_tea,none
3,cs,20,m,70,170,halfbaked,blue
3,cs,20,m,70,170,halfbaked,blue
3,cogs-dsgn,20,f,64,128,halfbaked,red
3,cse,20,m,66,140,lactose intolerant,navy_blue
3,cs,20,m,72,185,lactose intolerant,rainbow
3,cogs,21,m,66,150,mint,blue
3,math-cs,20,m,67,155,mint,blue
3,intecon,21,m,71,140,mint,green
3,cogs,21,m,73,133,mint,red
3,bioeng,20,m,66,132,none,orange
3,cs,20,m,68,135,orange_sherbet,red
3,cogs,20,m,72,220,oreo,green
3,cse,23,m,69,165,oreo,white
3,math-cs,25,m,70,160,peanut_butter,green
3,cs,21,m,70,165,peanut_butter,green
3,cs,20,m,70,150,pineapple,blue
3,cogs-dsgn,20,f,60,110,pistachio,blue
3,cogs-dsgn,21,f,66,145,pistachio,grey
3,cogs,20,f,62,110,pistachio,green
3,cogs,22,m,66,145,pistachio,maroon
3,cs,20,f,72,155,pistachio,orange
3,cs,20,m,70,125,pistachio,purple
3,cogs,22,m,67,150,pistachio,purple
3,cogs-ml,21,m,66,140,rainbow_sherbet,blue
3,cogs-ml,19,m,69,130,rainbow_sherbet,blue
3,cogs,21,m,72,125,raisin_rum,purple
3,cogs,21,f,64,132,raspberry,blue
3,cs,21,m,71,165,red,red
3,cogs-dsgn,20,f,64,160,red_bean,none
3,cse,20,m,66,150,rocky_road,blue
3,cogs,20,m,71,205,rocky_road,maroon
3,cogs,20,f,62,130,rocky_road,purple
3,cs,20,m,70,150,rocky_road,red
3,cogs,20,f,66,215,rocky_road,white
3,cogs-dsgn,20,f,64,125,rocky_road,yellow
3,cogs-dsgn,20,f,61,125,rose_water,blue
3,cogs,21,m,70,165,smores,navy_blue
3,cs,21,f,62,105,strawberry,blue
3,probstat,20,m,72,150,strawberry,blue
3,cogs-dsgn,21,f,64,160,strawberry,grey
3,cs,20,m,70,155,strawberry,green
3,cogs-dsgn,21,f,63,120,strawberry,pink
3,cogs,21,f,64,107,strawberry,purple
3,cs,20,m,74,225,strawberry,purple
3,math-cs,20,m,68,125,strawberry,red
3,cogs-neuro,20,m,70,145,strawberry,turquoise
3,cogs,26,m,66,137,strawberry,white
3,math-cs,21,m,69,132,taro,navy_blue
3,cogs,21,f,64,170,vanilla,blue
3,cs,21,m,67,125,vanilla,blue
3,cs,20,m,72,134,vanilla,blue
3,cogs,21,f,64,135,vanilla,blue
3,math-cs,20,m,72,140,vanilla,blue
3,cogs,20,m,66,160,vanilla,blue
3,cogs-dsgn,21,m,72,145,vanilla,burgandy
3,cogs,21,f,63,135,vanilla,crimson
3,cogs,24,m,64,120,vanilla,grey
3,cogs,20,f,65,120,vanilla,grey
3,math,20,f,63,93,vanilla,light_blue
3,cogs,20,m,73,180,vanilla,navy_blue
3,cogs,21,m,69,200,vanilla,orange
3,cs,20,m,73,170,vanilla,orange
3,cogs-dsgn,21,f,65,100,vanilla,pastel_pink
3,cs,20,m,66,138,vanilla,pink
3,cogs,20,m,77,210,vanilla,pink
3,cs,20,m,67,150,vanilla,purple
3,cogs-dsgn,21,m,67,175,vanilla,red
3,cogs-dsgn,21,f,60,135,vanilla,teal
3,cs,21,m,69,180,vanilla,turquoise
3,cs,21,m,67,143,vanilla,white
3,cogs,,f,65,125,watermelon,orange
3,cogs,21,m,72,147,wild_n_wreckless,blue
3,ece,21,m,70,143,,blue
3,cogs,24,m,65,125,,blue
3,cogs,20,f,63,,,pink
3,cs,21,m,,,,
4,cogs,27,m,70,160,banana,blue
4,cse,21,m,68,165,black_cherry,orange
4,cogs,22,f,66,135,blue_moon,blue
4,math-cs,22,m,72,170,butterscotch,teal
4,cogs,21,f,65,120,choc_chip,red
4,math,22,m,71,165,choc_mint,black
4,cogs-clin,25,m,66,145,choc_mint,black
4,bioeng,22,m,66,130,choc_mint,blue
4,ece,21,,62,110,choc_mint,blue
4,math-cs,22,m,71,160,choc_mint,blue
4,envchem,22,f,64,140,choc_mint,green
4,cs,21,m,69,135,choc_mint,pink
4,cbn,21,f,63,140,choc_mint,teal
4,math-cs,21,m,68,140,choc_mint,yellow
4,cogs,21,f,68,135,chocchip_cookiedough,black
4,cs,26,m,66,130,chocolate,black
4,cogs,21,m,72,170,chocolate,blue
4,cogs,24,m,72,175,chocolate,blue
4,cse,22,m,74,155,chocolate,green
4,cs,28,m,73,215,chocolate,purple
4,cs,23,m,66,160,chocolate,red
4,cogs,22,m,70,160,chocolate,red
4,cogs,22,f,60,90,coconut_pineapple,yellow
4,cogs,24,m,69,155,coffee,red
4,cbn,27,m,71,150,cookie_butter,blue
4,cogs,21,m,70,160,cookie_dough,gold
4,cogs-neuro,21,f,65,120,cookie_dough,green
4,cs,22,m,68,130,cookie_dough,red
4,cs,21,m,66,140,cookies_cream,black
4,cogs,22,f,62,130,cookies_cream,blue
4,bioeng,22,m,72,,cookies_cream,grey
4,cogs-dsgn,21,m,63,135,cookies_cream,green
4,math-cs,21,m,70,155,cookies_cream,green
4,cs,21,m,65,140,cookies_cream,red
4,cs,22,f,60,105,cookies_cream,red
4,cse,21,m,65,115,cookies_cream,red
4,molbio,21,f,66,114,daiquiri_ice,green
4,cogs-neuro,21,m,70,174,dont_know,green
4,cs,22,m,69,143,green_tea,black
4,nanoeng,21,m,73,205,green_tea,grey
4,cs,21,m,,,healthy,
4,cogs,21,f,65,115,honey_lavender,white
4,cogs,29,,72,180,lavender,purple
4,cogs-neuro,21,f,66,137,mango,red_bordeaux
4,cogs,21,m,67,133,mint,blue
4,cogs,21,m,66,177,mint,none
4,cogs,28,f,70,150,none,orange
4,cogs,21,m,73,175,phishfood,navy_blue
4,cogs-dsgn,22,f,64,116,pistachio,beige
4,cs,22,m,68,135,pistachio,blue
4,cogs-ml,21,,70,155,pistachio ,blue
4,bioeng,22,m,70,160,rainbow_sherbet,silver
4,math-cs,21,m,74,165,salted_caramel,blue
4,cs,21,f,68,160,salted_caramel,pink
4,cs,22,m,71,220,salted_caramel,purple
4,cse,22,m,66,155,strawberry,red
4,cogs,22,f,63,,ube,pink
4,cogs,22,m,70,190,vanilla,black
4,cs,20,f,62,110,vanilla,blue
4,cs,20,f,62,110,vanilla,blue
4,cogs,24,f,70,140,vanilla,blue
4,cogs-neuro,21,m,72,170,vanilla,green
4,cse,20,m,72,138,vanilla,none
4,probstat,22,f,70,140,vanilla,orange
4,cogs,21,f,63,120,vanilla,pink
4,ece,21,,70,140,vanilla,red
4,cs,23,m,71,170,vanilla,red
5,cse,22,m,69,145,choc_mint,blue
5,cs,23,f,60,110,chocolate,pink
5,math,23,m,73,155,coffee,orange
5,cogs,22,m,67,145,cookies_cream,green
5,cogs-dsgn,22,f,64,110,green_tea,blue
5,cogs-ml,23,m,70,135,mint,ocean_green
5,cogs,22,f,65,164,rainbow_sherbet,purple
5,math-cs,22,f,59,78,strawberry,blue
5,cogs,22,m,68,130,strawberry,lavender
5,cs,23,f,62,108,strawberry,red
5,cogs-dsgn,23,m,71,150,strawberry_cheesecake,red
5,cs,22,m,69,172,vanilla,blue
5,cogs-dsgn,23,m,68,163,vanilla,green
6,cogs-dsgn,24,m,67,110,coffee,purple
6,cogs-dsgn,22,m,64,135,honey_lavender,white
6,cse,23,m,69,150,vanilla,blue
7,cogs-dsgn,24,m,,,green_tea,none
,,25,m,68,160,black_raspberry,flamingo
,cogs-neuro,23,f,59,96,bubblegum,purple
,cogs,20,f,66,200,choc_mint,turquoise
,ece,24,m,69,120,chocolate,blue
,cogs-dsgn,22,m,65,105,chocolate,red
,cs,22,f,63,116,coffee,purple
,cogs,22,m,69,185,pecan_praline ,red
,cogs-dsgn,21,m,66,175,vanilla,black
